Mã KH,LSX,PI,Mô tả Sản Phẩm,LOẠI ĐÁ,Kích thước ,L,L2,W,W2,H,H2,CÁCH GIA CÔNG,KHU VỰC,ỨNG DỤNG,Đơn giá,usd_pc,usd_m2,usd_m3,usd_ton,Pcs
,,,,,,,0.0,,0.0,,0.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
X21.2,Draft (02/A-X21.2/25),02/A-X21.2/25 (same PO 2024-OTR-1410 ),"BAZAN XÁM, Cubic- Mặt trên đốt, mặt dưới cưa, các cạnh tự nhiên ",BAZAN XÁM ,121212,12,0.0,12.0,0.0,12.0,0.0,ĐỐT XỊT ,2.0,CUBE ,"70,20 usd/m2",1.01088,70.2,585,259.7114317,3470.0
X21.2,Draft (02/A-X21.2/25),02/A-X21.2/25 (same PO 2024-OTR-1410 ),"BAZAN XÁM, Cubic- Mặt trên đốt, mặt dưới cưa, các cạnh tự nhiên ",BAZAN XÁM ,121512,12,0.0,15.0,0.0,12.0,0.0,ĐỐT XỊT ,2.0,CUBE ,"70,20 usd/m2",1.2636,70.2,585,259.7114317,4480.0
X21.2,Draft (02/A-X21.2/25),02/A-X21.2/25 (same PO 2024-OTR-1410 ),"BAZAN XÁM, Cubic- Mặt trên đốt, mặt dưới cưa, các cạnh tự nhiên ",BAZAN XÁM ,121812,12,0.0,18.0,0.0,12.0,0.0,ĐỐT XỊT ,2.0,CUBE ,"70,20 usd/m2",1.51632,70.2,585,259.7114317,3840.0
X21.2,Draft (02/A-X21.2/25),02/A-X21.2/25 (same PO 2024-OTR-1410 ),"BAZAN XÁM, Cubic- Mặt trên đốt, mặt dưới cưa, các cạnh tự nhiên ",BAZAN XÁM ,151512,15,0.0,15.0,0.0,12.0,0.0,ĐỐT XỊT ,2.0,CUBE ,"70,20 usd/m2",1.5795,70.2,585,259.7114317,1554.0
X21.2,Draft (02/A-X21.2/25),02/A-X21.2/25 (same PO 2024-OTR-1410 ),"BAZAN XÁM, Cubic- Mặt trên đốt, mặt dưới cưa, các cạnh tự nhiên ",BAZAN XÁM ,181512,18,0.0,15.0,0.0,12.0,0.0,ĐỐT XỊT ,2.0,CUBE ,"70,20 usd/m2",1.8954,70.2,585,259.7114317,2800.0
X21.2,Draft (02/A-X21.2/25),02/A-X21.2/25 (same PO 2024-OTR-1410 ),"BAZAN XÁM, Cubic- Mặt trên đốt, mặt dưới cưa, các cạnh tự nhiên ",BAZAN XÁM ,181812,18,0.0,18.0,0.0,12.0,0.0,ĐỐT XỊT ,2.0,CUBE ,"70,20 usd/m2",2.27448,70.2,585,259.7114317,2400.0
X21.2,Draft (02/A-X21.2/25),02/A-X21.2/25 (same PO 2024-OTR-1410 ),"BAZAN XÁM, Cubic- Mặt trên đốt, mặt dưới cưa, các cạnh tự nhiên ",BAZAN XÁM ,221812,22,0.0,18.0,0.0,12.0,0.0,ĐỐT XỊT ,2.0,CUBE ,"70,20 usd/m2",2.77992,70.2,585,259.7114317,1700.0
X21.2,Draft (01/A-X21.2/25),01/A-X21.2/25,"BAZAN ĐEN, Đá cây- mặt bóng, vạt mép 3mm",BAZAN ĐEN ,100208,100,0.0,20.0,0.0,8.0,0.0,BÓNG ,2.0,PALISADE,,21.6,108,1350,457.6271186,576.0
X21.2,Draft (01/A-X21.2/25),01/A-X21.2/25,"BAZAN ĐEN, Đá cây- mặt đốt xịt nước, vạt mép 3mm",BAZAN ĐEN ,100208,100,0.0,20.0,0.0,8.0,0.0,ĐỐT XỊT ,2.0,PALISADE,,16,80,1000,338.9830508,576.0
X21.2,040225 (12/A-X21.2/24),12/A-X21.2/24,"BAZAN XÁM, Cubic-Chẻ tay tự nhiên",BAZAN XÁM ,1897-9,18,0.0,9.0,0.0,7.0,9.0,CHẺ TAY TỰ NHIÊN ,2.0,CUBE,130 usd/ton,16,987.654321,301.4375,130,3960.0
